,alt_title,director,domestic_gross,mojo_slug,opening_per_theater,opening_weekend_take,production_budget,release_date_limited,release_date_wide,title,widest_release,worldwide_gross,year
20,20 Feet from Stardom (2013),,4946445.0,20feetfromstardom,18199.0,54596.0,,,2013-06-14,20 Feet from Stardom,147.0,4946445.0,2013.0
21,21 (2008),Robert Luketic,81159365.0,21,9103.0,24105943.0,35000000.0,,2008-03-28,21,2952.0,157927340.0,2008.0
22,21 and Over (2013),Jon LucasScott Moore,25682380.0,21andover,3159.0,8754168.0,13000000.0,,2013-03-01,21 and Over,2771.0,48065672.0,2013.0
23,21 Grams (2003),Alejandro GonzÃ¡lez IÃ±Ã¡rritu,16290476.0,21grams,34306.0,274454.0,20000000.0,,2003-11-21,21 Grams,411.0,60427839.0,2003.0
24,21 Jump Street (2012),Phil LordChris Miller (II),138447667.0,21jumpstreet,11632.0,36302612.0,42000000.0,,2012-03-16,21 Jump Street,3148.0,201585328.0,2012.0
25,25th Hour (2002),Spike Lee,13084595.0,25thhour,21773.0,108865.0,5000000.0,,2002-12-19,25th Hour,495.0,23928503.0,2002.0
26,27 Dresses (2008),Anne Fletcher,76808654.0,27dresses,7526.0,23007725.0,30000000.0,,2008-01-18,27 Dresses,3074.0,160259319.0,2008.0
27,28 Days (2000),Betty Thomas,37170488.0,28days,4086.0,10310672.0,43000000.0,,2000-04-14,28 Days,2523.0,62198945.0,2000.0
28,28 Days Later (2003),Danny Boyle,45064915.0,28dayslater,7985.0,10061858.0,8000000.0,,2003-06-27,28 Days Later,1407.0,82719885.0,2003.0
29,28 Weeks Later (2007),Juan Carlos Fresnadillo,28638916.0,28weekslater,4258.0,9807292.0,,,2007-05-11,28 Weeks Later,2305.0,64238440.0,2007.0
30,2 Days in New York (2012),Julie Delpy,633210.0,2daysinnewyork,11971.0,23942.0,,,2012-08-10,2 Days in New York,42.0,1653792.0,2012.0
31,2 Days in Paris (2007),Julie Delpy,4433994.0,2daysinparis,17364.0,173641.0,,,2007-08-10,2 Days in Paris,148.0,19776159.0,2007.0
32,2 Fast 2 Furious (2003),John Singleton,127154901.0,2fast2furious,14810.0,50472480.0,76000000.0,,2003-06-06,2 Fast 2 Furious,3418.0,236350661.0,2003.0
33,2 Guns (2013),Baltasar Kormakur,75612460.0,2guns,8945.0,27059130.0,61000000.0,,2013-08-02,2 Guns,3028.0,131940411.0,2013.0
34,3 (2011) (2011),,59954.0,3,2455.0,9821.0,,,2011-09-16,3 (2011),6.0,2611555.0,2011.0
35,300 (2007),Zack Snyder,210614939.0,300,22844.0,70885301.0,65000000.0,,2007-03-09,300,3280.0,456068181.0,2007.0
36,3000 Miles to Graceland (2001),,15749959.0,3000milestograceland,2813.0,7160521.0,62000000.0,,2001-02-23,3000 Miles to Graceland,2545.0,18720175.0,2001.0
