,alt_title,director,domestic_gross,mojo_slug,opening_per_theater,opening_weekend_take,production_budget,release_date_limited,release_date_wide,title,widest_release,worldwide_gross,year
981,Dogma (1999),Kevin Smith,30652890.0,dogma,6832.0,8669945.0,10000000.0,,1999-11-12,Dogma ,1292.0,30652890.0,1999.0
982,Dogtooth (2010),,110248.0,dogtooth,3343.0,6686.0,,,2010-06-25,Dogtooth,5.0,384147.0,2010.0
983,Dogville (2004),Lars Von Trier,1535286.0,dogville,9872.0,88855.0,10000000.0,,2004-03-26,Dogville,70.0,16680836.0,2004.0
984,Do Knot Disturb (2009),,213525.0,doknotdisturb,2188.0,124691.0,,,2009-10-02,Do Knot Disturb ,57.0,235977.0,2009.0
985,Dolores Claiborne (1995),Taylor Hackford,24361867.0,doloresclaiborne,4705.0,5721920.0,,,1995-03-24,Dolores Claiborne ,1256.0,,1995.0
986,Dolphin Tale (2011),Charles Martin Smith,72286779.0,dolphintale,5461.0,19152401.0,37000000.0,,2011-09-23,Dolphin Tale,3515.0,95404397.0,2011.0
987,Dolphin Tale 2 (2014),Charles Martin Smith,42024533.0,dolphintale2,4342.0,15873397.0,36000000.0,,2014-09-12,Dolphin Tale 2,3656.0,52424533.0,2014.0
988,Dom Hemingway (2014),,523511.0,domhemingway,7319.0,29276.0,,,2014-04-02,Dom Hemingway,129.0,523511.0,2014.0
989,Dominion: Prequel to the Exorcist (2005),Paul Schrader,251495.0,dominion,1279.0,140703.0,,,2005-05-20,Dominion:Prequel to the Exorcist,110.0,,2005.0
990,Domino (2005),Tony Scott,10169202.0,domino,2100.0,4670120.0,,,2005-10-14,Domino,2223.0,22944502.0,2005.0
991,Don 2 (2011),,3680306.0,don2,10662.0,1673921.0,,,2011-12-22,Don 2,167.0,3680306.0,2011.0
992,Don Jon (2013),Joseph Gordon-Levitt,24477704.0,donjon,3583.0,8677009.0,3000000.0,,2013-09-27,Don Jon,2422.0,30450756.0,2013.0
993,Donkey Punch (2009),Oliver Blackburn,19367.0,donkeypunch,2372.0,4744.0,,,2009-01-23,Donkey Punch,4.0,694422.0,2009.0
994,Donnie Brasco (1997),Mike Newell,41909762.0,donniebrasco,7757.0,11660216.0,,,1997-02-28,Donnie Brasco,1593.0,124909762.0,1997.0
995,Donnie Darko (2001),Richard Kelly,1270522.0,donniedarko,1905.0,110494.0,6000000.0,,2001-10-26,Donnie Darko,58.0,1270522.0,2001.0
996,Don't Be Afraid of the Dark (2011),Troy Nixey,24046682.0,dontbeafraidofthedark,3089.0,8525728.0,25000000.0,,2011-08-26,Don't Be Afraid of the Dark,2780.0,36993168.0,2011.0
997,Don't Go in the Woods (2012),Vincent D'Onofrio,,dontgointhewoods,,,,,2012-01-13,Don't Go in the Woods ,,,2012.0
998,Don't Say a Word (2001),,55001642.0,dontsayaword,6099.0,17090474.0,50000000.0,,2001-09-28,Don't Say a Word ,2842.0,100020092.0,2001.0
999,Doogal (2006),,7417319.0,doogal,1555.0,3605899.0,,,2006-02-24,Doogal,2319.0,26691243.0,2006.0
1000,Doom (2005),Andrzej Bartkowiak,28212337.0,doom,5088.0,15488870.0,60000000.0,,2005-10-21,Doom,3044.0,55987321.0,2005.0
1001,Doomsday (2008),Neil Marshall,11008770.0,doomsday,2544.0,4926565.0,,,2008-03-14,Doomsday,1938.0,22211426.0,2008.0
1002,The Doors (1991),Oliver Stone,34416893.0,doors,10895.0,9151800.0,,,1991-03-01,The Doors ,1236.0,,1991.0
1003,Do the Right Thing (1989),Spike Lee,27545445.0,dotherightthing,10095.0,3563535.0,,,1989-06-30,Do the Right Thing,534.0,37295445.0,1989.0
1004,The Double Hour (2011),,1514942.0,doublehour,15123.0,30246.0,4300000.0,,2011-04-15,The Double Hour,68.0,2715751.0,2011.0
1005,Double Jeopardy (1999),,116741558.0,doublejeopardy,9094.0,23162542.0,70000000.0,,1999-09-24,Double Jeopardy,3002.0,177841558.0,1999.0
1006,Doubt (2008),,33446470.0,doubt,4214.0,5339742.0,20000000.0,2008-12-12,2008-12-25,Doubt,1287.0,50907234.0,2008.0
1007,Down and Out in Beverly Hills (1986),,62134225.0,downandoutinbeverlyhills,7104.0,5726495.0,14000000.0,,1986-01-31,Down and Out in Beverly Hills ,1084.0,,1986.0
1008,Downfall (2005),,5509040.0,downfall,18195.0,18195.0,,,2005-02-18,Downfall,174.0,92180910.0,2005.0
1009,Down Terrace (2010),,9812.0,downterrace,1544.0,3088.0,30000.0,,2010-10-15,Down Terrace,2.0,,2010.0
1010,Dracula Untold (2014),Gary Shore,56280355.0,dracula,8151.0,23514615.0,70000000.0,,2014-10-10,Dracula Untold,2900.0,215529201.0,2014.0
1011,Dracula 2000 (2000),Patrick Lussier,33022767.0,dracula2000,3918.0,8636567.0,54000000.0,,2000-12-22,Dracula 2000,2204.0,47053625.0,2000.0
1012,Draft Day (2014),Ivan Reitman,28842237.0,draftday,3518.0,9783603.0,,,2014-04-11,Draft Day,2781.0,29462046.0,2014.0
1013,Drag Me to Hell (2009),Sam Raimi,42100625.0,dragmetohell,6310.0,15825480.0,30000000.0,,2009-05-29,Drag Me to Hell,2510.0,90842646.0,2009.0
1014,Dragonball Evolution (2009),James Wong,9362785.0,dragonball,2181.0,4756488.0,,,2009-04-10,Dragonball Evolution,2181.0,57497699.0,2009.0
1015,Dragonslayer (1981),,14110013.0,dragonslayer,2774.0,2407939.0,,,1981-06-26,Dragonslayer ,,14110013.0,1981.0
1016,Dragon Wars (2007),,10977721.0,dragonwars,2213.0,5041239.0,32000000.0,,2007-09-14,Dragon Wars,2277.0,75108998.0,2007.0
1017,Dr. Cabbie (U.S. only) (2014),,225490.0,drcabbie,540.0,118732.0,,,2014-11-26,Dr. Cabbie (U.S. only),220.0,,2014.0
1018,Doctor Dolittle (1998),Betty Thomas,144156605.0,drdolittle,10448.0,29014324.0,,,1998-06-26,Doctor Dolittle ,2871.0,294456605.0,1998.0
1019,Dr. Dolittle 2 (2001),Steve Carr,112952899.0,drdolittle2,8211.0,25037039.0,70000000.0,,2001-06-22,Dr. Dolittle 2 ,3053.0,176104344.0,2001.0
1020,Dreamcatcher (2003),Lawrence Kasdan,33715436.0,dreamcatcher,5102.0,15027423.0,68000000.0,,2003-03-21,Dreamcatcher,2945.0,75715436.0,2003.0
1021,The Dreamers (2004),,2532228.0,dreamers,28526.0,142632.0,15000000.0,,2004-02-06,The Dreamers,116.0,15121165.0,2004.0
1022,Dreamgirls (2006),Bill Condon,103365956.0,dreamgirls,16549.0,14100050.0,,2006-12-15,2006-12-25,Dreamgirls,2797.0,154937680.0,2006.0
1023,Dream House (2011),Jim Sheridan,21302340.0,dreamhouse,3055.0,8129355.0,50000000.0,,2011-09-30,Dream House,2664.0,38502340.0,2011.0
1024,Dreams of a Life (2012),,8405.0,dreamsofalife,3085.0,3085.0,,,2012-08-03,Dreams of a Life ,1.0,8405.0,2012.0
1025,Dredd (2012),Pete Travis,13414714.0,dredd,2505.0,6278491.0,50000000.0,,2012-09-21,Dredd,2557.0,35626525.0,2012.0
1026,Drillbit Taylor (2008),Steven Brill,32862104.0,drillbittaylor,3373.0,10309986.0,,,2008-03-21,Drillbit Taylor,3061.0,49690625.0,2008.0
1027,Drinking Buddies (2013),Joe Swanberg,343341.0,drinkingbuddies,9753.0,19505.0,,,2013-08-23,Drinking Buddies,33.0,,2013.0
1028,Drive (1992),,15084.0,drive,4715.0,4715.0,,,1992-08-07,Drive ,1.0,15084.0,1992.0
1029,Driving Miss Daisy (1989),,106593296.0,drivingmissdaisy,6375.0,5705721.0,,1989-12-15,1990-01-26,Driving Miss Daisy,1668.0,145793296.0,1989.0
1030,The Drop (2014),Michael Roskam,10724389.0,drop,5074.0,4104552.0,12600000.0,,2014-09-12,The Drop,1192.0,18658381.0,2014.0
1031,Drop Dead Gorgeous (1999),,10571408.0,dropdeadgorgeous,3302.0,3986269.0,15000000.0,,1999-07-23,Drop Dead Gorgeous ,1207.0,,1999.0
1032,Drugstore Cowboy (1989),Gus Van Sant,4729352.0,drugstorecowboy,,,2500000.0,,1989-10-06,Drugstore Cowboy ,87.0,,1989.0
1033,Drug War (2013),,128195.0,drugwar,5926.0,5926.0,,,2013-07-26,Drug War,13.0,128195.0,2013.0
1034,Drumline (2002),Charles Stone III,56399184.0,drumline,6865.0,12604705.0,20000000.0,,2002-12-13,Drumline,1837.0,57588485.0,2002.0
1035,The Duchess (2008),,13848978.0,duchess,2738.0,3304841.0,,2008-09-19,2008-10-10,The Duchess,1207.0,43306325.0,2008.0
1036,"Dude, Where's My Car? (2000)",,46729800.0,dudewheresmycar,6634.0,13845914.0,13000000.0,,2000-12-15,"Dude, Where's My Car? ",2100.0,73180723.0,2000.0
1037,Due Date (2010),Todd Phillips,100539043.0,duedate,9743.0,32689406.0,65000000.0,,2010-11-05,Due Date,3365.0,211780824.0,2010.0
1038,The DUFF (2015),Ari Sandel,33637582.0,duff,4198.0,10809149.0,8500000.0,,2015-02-20,The DUFF,2622.0,33637582.0,2015.0
1039,The Duke of Burgundy (2015),,56282.0,dukeofburgundy,3967.0,11902.0,,,2015-01-23,The Duke of Burgundy,10.0,56282.0,2015.0
1040,Duma (2005),,870067.0,duma,,,12000000.0,,2005-04-22,Duma,42.0,994790.0,2005.0
1041,Dumb and Dumber (1994),The Farrelly Bros.,127175374.0,dumbanddumber,6687.0,16363442.0,17000000.0,,1994-12-16,Dumb and Dumber ,2565.0,247275374.0,1994.0
1042,Dumb and Dumberer: When Harry Met Lloyd (2003),,26276465.0,dumbanddumberer,4156.0,10845064.0,19000000.0,,2003-06-13,Dumb and Dumberer:When Harry Met Lloyd,2609.0,39267515.0,2003.0
1043,Dummy (2003),,71646.0,dummy,6024.0,30120.0,,,2003-09-12,Dummy,5.0,,2003.0
1044,Dungeons & Dragons (2000),Courtney Solomon,15220685.0,dungeonsanddragons,3482.0,7237422.0,45000000.0,,2000-12-08,Dungeons & Dragons ,2078.0,33807409.0,2000.0
1045,Duplex (2003),Danny DeVito,9692135.0,duplex,2109.0,4617128.0,40000000.0,,2003-09-26,Duplex,2191.0,19322135.0,2003.0
1046,Duplicity (2009),Tony Gilroy,40572825.0,duplicity,5425.0,13965110.0,60000000.0,,2009-03-20,Duplicity,2579.0,78146652.0,2009.0
1047,Dylan Dog: Dead of Night (2011),Kevin Munroe,1186538.0,dylandog,863.0,754779.0,,,2011-04-29,Dylan Dog:Dead of Night,875.0,4634062.0,2011.0
1048,Eagle Eye (2008),D.J. Caruso,101440743.0,eagleeye,8305.0,29150721.0,80000000.0,,2008-09-26,Eagle Eye,3614.0,178066569.0,2008.0
1049,Eagle Vs. Shark (2007),,221846.0,eaglevsshark,6787.0,20361.0,,,2007-06-15,Eagle Vs. Shark,20.0,1298037.0,2007.0
1050,Earth (1999) (1999),,424798.0,earth,5306.0,42449.0,,,1999-09-10,Earth (1999) ,18.0,,1999.0
1051,The East (2013),Zal Batmanglij,2301839.0,east,19258.0,77031.0,,,2013-05-31,The East,195.0,2401510.0,2013.0
1052,Eastern Promises (2007),David Cronenberg,17266000.0,easternpromises,4030.0,5659133.0,,2007-09-14,2007-09-21,Eastern Promises,1408.0,56106607.0,2007.0
1053,East is East (2000),,4177818.0,eastiseast,13392.0,53569.0,,,2000-04-14,East is East ,157.0,,2000.0
1054,Easy A (2010),Will Gluck,58401464.0,easya,6209.0,17734040.0,8000000.0,,2010-09-17,Easy A,2974.0,74952305.0,2010.0
1055,Easy Money (1983),,29309766.0,easymoney,5172.0,5844974.0,,,1983-08-19,Easy Money ,1171.0,,1983.0
1056,Easy Rider (1969),,,easyrider,,,360000.0,,1969-07-14,Easy Rider,,,1969.0
1057,Eating Out (2005),,155212.0,eatingout,17510.0,17510.0,,,2005-03-18,Eating Out ,7.0,,2005.0
1058,Eating Out 2: Sloppy Seconds (2006),,37072.0,eatingout2,4394.0,4394.0,,,2006-11-24,Eating Out 2: Sloppy Seconds ,5.0,,2006.0
1059,Eat Pray Love (2010),Ryan Murphy,80574010.0,eatpraylove,7497.0,23104523.0,60000000.0,,2010-08-13,Eat Pray Love,3108.0,204594016.0,2010.0
1060,Echelon Conspiracy (2009),,666009.0,echelonconspiracy,1250.0,500154.0,,,2009-02-27,Echelon Conspiracy,400.0,2186782.0,2009.0
1061,The Twilight Saga: Eclipse (2010),David Slade,300531751.0,eclipse,14510.0,64832191.0,68000000.0,,2010-06-30,The Twilight Saga:Eclipse,4468.0,698491347.0,2010.0
1062,Eden Lake (2008),James Watkins,7321.0,edenlake,582.0,5824.0,,,2008-10-31,Eden Lake ,10.0,3983997.0,2008.0
1063,Edge of Darkness (2010),Martin Campbell,43313890.0,edgeofdarkness,5615.0,17214384.0,80000000.0,,2010-01-29,Edge of Darkness,3066.0,81124129.0,2010.0
1064,The Edge of Heaven (2008),,742349.0,edgeofheaven,14257.0,14257.0,,,2008-05-21,The Edge of Heaven,20.0,17804565.0,2008.0
1065,EDtv (1999),Ron Howard,22431897.0,edtv,3163.0,8311290.0,80000000.0,,1999-03-26,EDtv ,2631.0,35242897.0,1999.0
1066,Educating Rita (1983),,14648076.0,educatingrita,24506.0,73518.0,,,1983-09-23,Educating Rita ,407.0,,1983.0
1067,The Edukators (2005),,175493.0,edukators,5037.0,10075.0,,,2005-07-22,The Edukators,19.0,8152859.0,2005.0
1068,Edward Scissorhands (1990),Tim Burton,56362352.0,edwardscissorhands,6183.0,6325249.0,,1990-12-07,1990-12-14,Edward Scissorhands,1372.0,86024005.0,1990.0
1069,Ed Wood (1994),Tim Burton,5887457.0,edwood,3055.0,1903768.0,18000000.0,1994-09-30,1994-10-07,Ed Wood ,623.0,,1994.0
1070,Effie Gray (2015),,,effiegray,,,,,2015-04-03,Effie Gray,,,2015.0
1071,Eight Crazy Nights (2002),,23586598.0,eightcrazynights,3769.0,9434175.0,,,2002-11-27,Eight Crazy Nights,2503.0,23833131.0,2002.0
1072,Eight Legged Freaks (2002),,17322606.0,eightleggedfreaks,2563.0,6485458.0,30000000.0,,2002-07-17,Eight Legged Freaks,2530.0,45867333.0,2002.0
1073,Elaine Stritch: Shoot Me (2014),,327452.0,elainestritch,13927.0,27853.0,,,2014-02-21,Elaine Stritch:Shoot Me,41.0,,2014.0
1074,Election (1999),Alexander Payne,14902041.0,election,3824.0,3162540.0,25000000.0,1999-04-23,1999-05-07,Election,827.0,,1999.0
1075,Elegy (2008),Isabel Coixet,3581642.0,elegy,17361.0,104168.0,,,2008-08-08,Elegy,142.0,14894347.0,2008.0
1076,Elektra (2005),Rob Bowman,24409722.0,elektra,3996.0,12804793.0,43000000.0,,2005-01-14,Elektra,3204.0,56681566.0,2005.0
1077,Elena (2012),,233380.0,elena,9035.0,9035.0,,,2012-05-16,Elena,13.0,233380.0,2012.0
1078,Elephant (2003),Gus Van Sant,1266955.0,elephant,15559.0,93356.0,,,2003-10-24,Elephant ,38.0,10012022.0,2003.0
1079,Elf (2003),Jon Favreau,173398518.0,elf,9323.0,31113501.0,33000000.0,,2003-11-07,Elf,3381.0,220443451.0,2003.0
1080,Elite Squad (2008),Jose Padilha,8744.0,elitesquad,3604.0,3604.0,,,2008-09-19,Elite Squad,1.0,14067078.0,2008.0
1081,Elizabethtown (2005),Cameron Crowe,26850426.0,elizabethtown,4218.0,10618711.0,45000000.0,,2005-10-14,Elizabethtown,2517.0,52034889.0,2005.0
1082,Ella Enchanted (2004),,22918387.0,ellaenchanted,3194.0,6169030.0,31000000.0,,2004-04-09,Ella Enchanted,2149.0,27388767.0,2004.0
1083,El Mariachi (1993),Robert Rodriguez,2040920.0,elmariachi,4735.0,312528.0,,,1993-02-26,El Mariachi ,88.0,,1993.0
1084,El Norte (1984),Gregory Nava,,elnorte,,,,,1984-04-21,El Norte ,,,1984.0
1085,"El Sicario, Room 164 (2011)",,6123.0,elsicario,2040.0,2040.0,,,2011-12-28,"El Sicario, Room 164",1.0,,2011.0
1086,Elysium (2013),Neill Blomkamp,93050117.0,elysium,9077.0,29807393.0,115000000.0,,2013-08-09,Elysium,3284.0,286140700.0,2013.0
1087,Emma (1996),Douglas McGrath,22231658.0,emma,4214.0,3055198.0,,1996-08-02,1996-08-30,Emma ,848.0,,1996.0
1088,Emperor (2013),,3346265.0,emperor,3900.0,1014099.0,,,2013-03-08,Emperor,311.0,3346265.0,2013.0
1089,The Emperor's Club (2002),Michael Hoffman,14118751.0,emperorsclub,4754.0,3846780.0,12500000.0,,2002-11-22,The Emperor's Club,811.0,16318449.0,2002.0
1090,The Emperor's New Groove (2000),,89302687.0,emperorsnewgroove,3503.0,9812302.0,100000000.0,,2000-12-15,The Emperor's New Groove ,2887.0,169327687.0,2000.0
1091,Employee of the Month (2006),Greg Coolidge,28444855.0,employeeofthemonth,4423.0,11407751.0,12000000.0,,2006-10-06,Employee of the Month,2579.0,38368909.0,2006.0
1092,Enchanted (2007),,127807262.0,enchanted,9233.0,34440317.0,85000000.0,,2007-11-21,Enchanted,3730.0,340487652.0,2007.0
1093,Ender's Game (2013),Gavin Hood,61737191.0,endersgame,7930.0,27017351.0,110000000.0,,2013-11-01,Ender's Game,3407.0,125537191.0,2013.0
1094,Endless Love (1981),,31184024.0,endlesslove,7253.0,4163623.0,,,1981-07-17,Endless Love ,,32492674.0,1981.0
1095,End of Days (1999),Peter Hyams,66889043.0,endofdays,7915.0,20523595.0,100000000.0,,1999-11-24,End of Days ,2652.0,211989043.0,1999.0
1096,The End of Love (2013),,9342.0,endoflove,978.0,1955.0,,,2013-03-01,The End of Love,3.0,,2013.0
1097,End of the Line (1987),Jay Russell,25000.0,endoftheline,595.0,25000.0,,,1987-08-28,End of the Line ,42.0,,1987.0
1098,End of Watch (2012),David Ayer,41003371.0,endofwatch,4818.0,13152683.0,7000000.0,,2012-09-21,End of Watch,2780.0,48126384.0,2012.0
1099,Enemy (2014),Denis Villeneuve,1008726.0,enemy,16161.0,16161.0,,,2014-03-14,Enemy,120.0,3396726.0,2014.0
1100,Enemy at the Gates (2001),Jean-Jacques Annaud,51401758.0,enemyatthegates,9151.0,13810266.0,68000000.0,,2001-03-16,Enemy at the Gates,1724.0,96976270.0,2001.0
1101,Enemy of the State (1998),Tony Scott,111549836.0,enemyofthestate,8373.0,20038573.0,90000000.0,,1998-11-20,Enemy of the State,2517.0,250649836.0,1998.0
1102,The English Patient (1996),Anthony Minghella,78676425.0,englishpatient,4388.0,2707595.0,27000000.0,1996-11-15,1996-12-06,The English Patient ,1409.0,231976425.0,1996.0
1103,The English Teacher (2013),,104810.0,englishteacher,3001.0,6001.0,,,2013-05-17,The English Teacher,7.0,104810.0,2013.0
1104,Enough (2002),Michael Apted,40007742.0,enough,5341.0,14009653.0,38000000.0,,2002-05-24,Enough ,2623.0,51801187.0,2002.0
1105,Enough Said (2013),Nicole Holofcener,17550872.0,enoughsaid,3154.0,1911256.0,,2013-09-18,2013-10-11,Enough Said,835.0,25288872.0,2013.0
1106,Enter the Void (2010),,336467.0,enterthevoid,14550.0,43651.0,16000000.0,,2010-09-24,Enter the Void,13.0,754249.0,2010.0
1107,Entrapment (1999),,87704396.0,entrapment,7159.0,20145595.0,66000000.0,,1999-04-30,Entrapment ,2879.0,212404396.0,1999.0
1108,Envy (2004),Barry Levinson,13562325.0,envy,2519.0,6160886.0,40000000.0,,2004-04-30,Envy,2445.0,14581765.0,2004.0
1109,Epic Movie (2007),Jason FriedbergAaron Seltzer,39739367.0,epicmovie,6644.0,18612544.0,,,2007-01-26,Epic Movie,2840.0,86865564.0,2007.0
1110,The Equalizer (2014),Antoine Fuqua,101530738.0,equalizer,10549.0,34137828.0,55000000.0,,2014-09-26,The Equalizer,3236.0,192330738.0,2014.0
1111,Equilibrium (2002),Kurt Wimmer,1203794.0,equilibrium,1799.0,541512.0,,,2002-12-06,Equilibrium,301.0,5359645.0,2002.0
1112,Eragon (2006),,75030163.0,eragon,7695.0,23239907.0,100000000.0,,2006-12-15,Eragon,3030.0,249488115.0,2006.0
1113,Erased (2013),,,erased,,,,,2013-05-17,Erased,,,2013.0
1114,Erin Brockovich (2000),Steven Soderbergh,125595205.0,erinbrockovich,9880.0,28138465.0,52000000.0,,2000-03-17,Erin Brockovich ,3070.0,256271286.0,2000.0
1115,Escaflowne: The Movie (2002),,94060.0,escaflowne,3338.0,16692.0,,,2002-01-25,Escaflowne: The Movie ,5.0,,2002.0
1116,Escape From Planet Earth (2013),Cal Brunker,57012977.0,escapefromplanetearth,4833.0,15891055.0,40000000.0,,2013-02-15,Escape From Planet Earth,3353.0,74597643.0,2013.0
1117,Escape from Tomorrow (2013),,171962.0,escapefromtomorrow,2110.0,63297.0,,,2013-10-11,Escape from Tomorrow,30.0,,2013.0
1118,E.T.: The Extra-Terrestrial (1982),Steven Spielberg,435110554.0,et,10730.0,11835389.0,10500000.0,,1982-06-11,E.T.:The Extra-Terrestrial,1778.0,792910554.0,1982.0
1119,Europa Report (2013),,125687.0,europareport,7414.0,22243.0,,,2013-08-02,Europa Report,12.0,,2013.0
1120,Eurotrip (2004),Jeff Schaffer,17771387.0,eurotrip,2671.0,6711384.0,25000000.0,,2004-02-20,Eurotrip,2544.0,20796847.0,2004.0
1121,Evan Almighty (2007),Tom Shadyac,100462298.0,evanalmighty,8654.0,31192615.0,175000000.0,,2007-06-22,Evan Almighty,3636.0,173418781.0,2007.0
1122,Event Horizon (1997),Paul W.S. Anderson,26673242.0,eventhorizon,4115.0,9511915.0,,,1997-08-15,Event Horizon ,2328.0,,1997.0
1123,Everyone's Hero (2006),,14523101.0,everyoneshero,2093.0,6061762.0,,,2006-09-15,Everyone's Hero,2898.0,16627188.0,2006.0
1124,Everything Is Illuminated (2005),,1712337.0,everythingisilluminated,11134.0,66806.0,,,2005-09-16,Everything Is Illuminated,110.0,3601974.0,2005.0
1125,Everything Must Go (2011),Dan Rush,2711643.0,everythingmustgo,3632.0,791676.0,5000000.0,,2011-05-13,Everything Must Go,245.0,2711643.0,2011.0
1126,The Evil Dead (1983),Sam Raimi,2400000.0,evildead,,,,,1983-01-01,The Evil Dead ,128.0,2400000.0,1983.0
1127,Evil Dead (2013) (2013),Fede Alvarez,54239856.0,evildead2013,8521.0,25775847.0,17000000.0,,2013-04-05,Evil Dead (2013),3025.0,97542952.0,2013.0
1128,Evolution (2001),Ivan Reitman,38345494.0,evolution,5135.0,13408351.0,80000000.0,,2001-06-08,Evolution ,2613.0,98376292.0,2001.0
1129,Exhibition (2014),,14344.0,exhibition,,,,,2014-06-20,Exhibition ,1.0,,2014.0
1130,eXistenZ (1999),,2856712.0,existenz,3165.0,810262.0,15000000.0,,1999-04-23,eXistenZ ,256.0,,1999.0
1131,Exit Through the Gift Shop (2010),,3291250.0,exitthroughthegiftshop,21345.0,170756.0,,,2010-04-16,Exit Through the Gift Shop,46.0,5308618.0,2010.0
1132,Exit Wounds (2001),Andrzej Bartkowiak,51758599.0,exitwounds,6532.0,18485586.0,50000000.0,,2001-03-16,Exit Wounds,2830.0,79958599.0,2001.0
1133,Ex Machina (2015),Alex Garland,250000.0,exmachina,62500.0,250000.0,,,2015-04-10,Ex Machina,4.0,6474774.0,2015.0
1134,Exodus: Gods and Kings (2014),Ridley Scott,65014513.0,exodus,6884.0,24115934.0,140000000.0,,2014-12-12,Exodus:Gods and Kings,3503.0,268031828.0,2014.0
1135,The Exorcism of Emily Rose (2005),Scott Derrickson,75072454.0,exorcismofemilyrose,10081.0,30054300.0,19000000.0,,2005-09-09,The Exorcism of Emily Rose,3045.0,144216468.0,2005.0
1136,The Expendables (2010),Sylvester Stallone,103068524.0,expendables,10650.0,34825135.0,80000000.0,,2010-08-13,The Expendables,3398.0,274470394.0,2010.0
1137,The Expendables 2 (2012),Simon West,85028192.0,expendables2,8622.0,28591370.0,100000000.0,,2012-08-17,The Expendables 2,3355.0,305428192.0,2012.0
1138,The Expendables 3 (2014),Patrick Hughes,39322544.0,expendables3,4930.0,15879645.0,,,2014-08-15,The Expendables 3,3221.0,206172544.0,2014.0
1139,Extract (2009),Mike Judge,10823158.0,extract,2694.0,4340108.0,8000000.0,,2009-09-04,Extract,1614.0,10848783.0,2009.0
1140,The Extra Man (2010),,453377.0,extraman,9431.0,18861.0,,,2010-07-30,The Extra Man,33.0,457867.0,2010.0
1141,Extreme Movie (2008),,,extrememovie,,,,,2008-12-05,Extreme Movie ,,54822.0,2008.0
1142,Extreme Ops (2002),,4842259.0,extremeops,1240.0,2233525.0,,,2002-11-27,Extreme Ops,1800.0,10959475.0,2002.0
1143,The Eye (2003) (2003),,512049.0,eye,4774.0,62062.0,,,2003-06-06,The Eye (2003) ,23.0,12165016.0,2003.0
1144,The Eye of the Storm (2012),,83566.0,eyeofthestorm,3684.0,25785.0,,,2012-09-07,The Eye of the Storm ,9.0,83566.0,2012.0
1145,Eyes Wide Shut (1999),,55691208.0,eyeswideshut,9002.0,21706163.0,65000000.0,,1999-07-16,Eyes Wide Shut,2483.0,162091208.0,1999.0
1146,Face/Off (1997),John Woo,112276146.0,faceoff,8923.0,23387530.0,80000000.0,,1997-06-27,Face/Off,2851.0,245676146.0,1997.0
1147,The Face of Love (2014),,350006.0,faceoflove,8220.0,24660.0,,,2014-03-07,The Face of Love,42.0,350006.0,2014.0
1148,Factory Girl (2006),George Hickenlooper,1675241.0,factorygirl,,,,,2006-12-29,Factory Girl,336.0,3572632.0,2006.0
1149,Factotum (2006),,808221.0,factotum,9868.0,59212.0,,,2006-08-18,Factotum,55.0,2708087.0,2006.0
1150,The Faculty (1998),Robert Rodriguez,40283321.0,faculty,4919.0,11633495.0,15000000.0,,1998-12-25,The Faculty ,2365.0,,1998.0
1151,Fading Gigolo (2014),John Turturro,3769873.0,fadinggigolo,36160.0,180801.0,,,2014-04-18,Fading Gigolo,356.0,13369873.0,2014.0
1152,Fahrenheit 9/11 (2004),Michael Moore,119194771.0,fahrenheit911,27558.0,23920637.0,6000000.0,,2004-06-23,Fahrenheit 9/11,2011.0,222446882.0,2004.0
1153,Failure to Launch (2006),Tom Dey,88715192.0,failuretolaunch,7985.0,24411322.0,50000000.0,,2006-03-10,Failure to Launch,3202.0,128406887.0,2006.0
1154,Fair Game (1995) (1995),Andrew Sipes,11534477.0,fairgame,2537.0,4946332.0,50000000.0,,1995-11-03,Fair Game (1995) ,1949.0,,1995.0
1155,Falcon Rising (2014),Ernie Barbarash,11774.0,falconrising,869.0,8691.0,,,2014-09-05,Falcon Rising ,10.0,,2014.0
1156,Fall (1997),,51266.0,fall,12045.0,12045.0,,,1997-06-20,Fall ,3.0,,1997.0
1157,Fallen Angels (1998),Wong Kar WaiMorten Tyldum,163145.0,fallenangels,13804.0,13804.0,,,1998-01-21,Fallen Angels ,3.0,163145.0,1998.0
1158,Falling Down (1993),Joel Schumacher,40903593.0,fallingdown,7151.0,8724452.0,,,1993-02-26,Falling Down ,1827.0,,1993.0
1159,Fame (1980) (1980),Alan Parker,21202829.0,fame,39386.0,118160.0,,,1980-05-16,Fame (1980) ,,,1980.0
1160,The Family (1988),,346730.0,family,10590.0,10590.0,,,1988-01-22,The Family ,1.0,,1988.0
1161,The Family Man (2000),Brett Ratner,75793305.0,familyman,4420.0,10554960.0,60000000.0,,2000-12-22,The Family Man ,2441.0,124745083.0,2000.0
1162,The Family Stone (2005),Thomas Bezucha,60062868.0,familystone,5077.0,12521027.0,18000000.0,,2005-12-16,The Family Stone,2469.0,92283851.0,2005.0
1163,Fanboys (2009),,688529.0,fanboys,3898.0,171533.0,,,2009-02-06,Fanboys,45.0,960828.0,2009.0
1164,Fantasia 2000 (35mm & IMAX) (2000),,60655420.0,fantasia2000,2217.0,2911485.0,80000000.0,2000-01-01,2000-06-16,Fantasia 2000 (35mm & IMAX) ,1313.0,90874570.0,2000.0
